0	0	1	1946	####
2	0	3	1940	1940
4	0	5	1804	1925
6	0	7	1912	1912
6	0	8	1368	1421
6	0	9	937	961
6	0	10	229	265
6	0	11	502	552
6	0	7	1927	1949
6	0	8	1425	1441
6	0	10	266	280
6	0	11	555	557
6	0	9	961	975
12	0	13	1944	####
12	0	14	1796	1929
15	0	16	1804	1924
17	0	18	####	1940
19	0	20	1940	1945
19	0	20	1876	1920
21	0	22	####	2015
21	0	23	####	2015
21	0	24	####	2015
25	0	26	1918	####
25	0	27	1929	####
25	0	28	1918	1991
25	0	29	1922	1991
25	0	30	1728	1730
25	0	31	1263	1547
25	0	32	1547	1712
25	0	33	1708	1929
34	0	35	2008	####
21	0	36	2015	####
21	0	37	2015	####
38	0	39	2015	####
40	0	41	1802	1807
42	0	43	####	2015
44	0	45	1991	####
44	0	46	1934	1991
47	0	48	1893	1928
47	0	49	1930	1935
50	0	51	1928	2004
50	0	52	2004	####
53	0	54	####	2015
55	0	56	2014	2014
55	0	57	2014	####
55	0	58	1921	1945
55	0	58	1991	1992
55	0	59	1945	1991
60	0	61	1778	1924
62	0	63	####	2015
64	0	65	2005	####
64	0	66	1928	####
67	0	68	####	2015
69	0	70	1944	####
69	0	71	####	1478
69	0	72	1727	1927
69	0	73	1927	1930
69	0	74	1930	1944
75	0	76	####	2015
77	0	78	####	1923
79	0	80	2005	####
79	0	81	1928	####
79	0	82	1861	1928
83	0	84	1873	1917
83	0	84	####	1920
85	0	86	####	1200
21	0	87	2015	####
88	0	89	1936	####
88	0	90	1777	1929
77	0	91	1923	####
92	0	93	####	1944
94	0	95	####	2015
96	0	97	####	2015
55	0	59	1946	1991
98	0	99	####	1997
100	0	101	1938	####
42	0	102	####	2015
42	0	103	####	2015
104	0	105	2006	####
104	0	106	1927	####
104	0	107	1777	1927
42	0	108	2015	####
109	0	110	####	2005
109	0	111	2006	####
42	0	112	2015	####
113	0	46	1919	1934
114	1	115	1922	####
114	1	116	1800	1922
114	1	117	1707	1800
118	1	119	1935	####
118	1	120	1930	1935
121	1	122	1790	1871
121	1	123	1871	####
124	1	125	1790	1871
124	1	126	1871	1920
124	1	125	1920	####
127	1	125	1920	####
128	1	129	1790	1871
128	1	123	1871	####
130	1	131	####	2015
132	1	122	####	1871
132	1	123	1871	####
133	1	125	1790	1871
133	1	126	1871	1920
133	1	125	1920	####
134	1	125	1790	1871
135	1	136	2016	####
135	1	137	####	2015
138	1	125	1790	1871
138	1	126	1871	1920
138	1	125	1920	####
139	1	125	1790	1871
139	1	126	1871	1920
139	1	125	1920	####
140	1	122	1790	1871
140	1	123	1871	####
141	1	122	1790	1871
142	1	143	1992	####
144	1	122	####	1871
144	1	123	1871	####
145	1	122	1790	1871
145	1	123	1871	####
146	1	122	1790	1871
147	1	148	1790	1968
149	1	126	1871	1920
150	1	122	1790	1871
151	1	122	1790	1871
151	1	123	1871	####
152	1	122	1790	1871
152	1	123	1871	####
153	1	125	1790	1871
153	1	126	1871	1920
153	1	125	1920	####
154	1	155	####	2014
156	1	122	1790	1871
156	1	123	1871	####
157	1	129	1790	1871
157	1	123	1871	####
158	1	148	1790	1968
158	1	159	1968	####
160	1	125	1790	1871
161	1	162	1968	####
161	1	163	1790	1968
164	1	165	####	2015
164	1	166	2015	####
167	1	148	1790	1968
167	1	159	1968	####
168	1	148	1790	1968
168	1	159	1968	####
169	1	170	1990	####
169	1	171	1933	1945
169	1	172	1918	1933
169	1	173	1881	1918
169	1	173	1701	1815
169	1	174	1618	1701
169	1	175	1157	1618
47	1	176	1928	1930
47	1	49	1930	1935
177	1	123	1871	####
47	1	176	1935	1963
178	1	179	1707	1889
178	1	86	927	1707
178	1	180	####	927
